"id";"itemID";"filename";"title";"titleAttribute";"hits"
"1";"575";"press_sun_2011june28.pdf";"press_sun_2011june28.pdf";"press_sun_2011june28.pdf";"86"
"2";"577";"press_sun_2011june19.pdf";"press_sun_2011june19.pdf";"press_sun_2011june19.pdf";"151"
"3";"578";"press_release2011june23.pdf";"press_release2011june23.pdf";"press_release2011june23.pdf";"145"
"4";"589";"press_clip_april2011.pdf";"press_clip_april2011.pdf";"press_clip_april2011.pdf";"117"
"5";"593";"press_sjb_2011january.pdf";"press_sjb_2011january.pdf";"press_sjb_2011january.pdf";"100"
"6";"594";"press_clip6may2011.pdf";"press_clip6may2011.pdf";"press_clip6may2011.pdf";"103"
"7";"595";"press_release2011may13.pdf";"press_release2011may13.pdf";"press_release2011may13.pdf";"100"
"8";"599";"press_release2011march21.pdf";"press_release2011march21.pdf";"press_release2011march21.pdf";"94"
"9";"607";"press_chs_15december10.pdf";"press_chs_15december10.pdf";"press_chs_15december10.pdf";"108"
"10";"609";"press_gct_3december10.pdf";"press_gct_3december10.pdf";"press_gct_3december10.pdf";"89"
"11";"657";"press_sun_2011june28_1.pdf";"press_sun_2011june28_1.pdf";"press_sun_2011june28_1.pdf";"77"
"12";"660";"PressReleasePBJ4March2010_1.pdf";"PressReleasePBJ4March2010_1.pdf";"PressReleasePBJ4March2010_1.pdf";"108"
"13";"663";"PressReleasePBJ2010Feb10_1.pdf";"PressReleasePBJ2010Feb10_1.pdf";"PressReleasePBJ2010Feb10_1.pdf";"106"
"14";"665";"PressReleaseNJcomGCT2010Feb5_1.pdf";"PressReleaseNJcomGCT2010Feb5_1.pdf";"PressReleaseNJcomGCT2010Feb5_1.pdf";"109"
"15";"667";"PressReleasePBJ2010Feb1_1.pdf";"PressReleasePBJ2010Feb1_1.pdf";"PressReleasePBJ2010Feb1_1.pdf";"95"
"16";"668";"PressReleaseDDSJan2010_1.pdf";"PressReleaseDDSJan2010_1.pdf";"PressReleaseDDSJan2010_1.pdf";"104"
"17";"671";"PressRelease_2009Oct_16.pdf";"PressRelease_2009Oct_16.pdf";"PressRelease_2009Oct_16.pdf";"94"
"18";"673";"PressRelease_PBJ_Oct_14_09_1.pdf";"PressRelease_PBJ_Oct_14_09_1.pdf";"PressRelease_PBJ_Oct_14_09_1.pdf";"89"
"19";"675";"PressRelease_SNJB_Sept_09_1.pdf";"PressRelease_SNJB_Sept_09_1.pdf";"PressRelease_SNJB_Sept_09_1.pdf";"117"
"20";"676";"PressRelease_SNJBP_Sept26_09_1.pdf";"PressRelease_SNJBP_Sept26_09_1.pdf";"PressRelease_SNJBP_Sept26_09_1.pdf";"110"
"21";"678";"PressRelease_2009Sept23_1.pdf";"PressRelease_2009Sept23_1.pdf";"PressRelease_2009Sept23_1.pdf";"111"
"22";"680";"PressRelease2009August10_1.pdf";"PressRelease2009August10_1.pdf";"PressRelease2009August10_1.pdf";"96"
"23";"682";"PressRelease_PBJ__2009July31_1.pdf";"PressRelease_PBJ__2009July31_1.pdf";"PressRelease_PBJ__2009July31_1.pdf";"100"
"24";"687";"PressRelease_2009July24.pdf";"PressRelease_2009July24.pdf";"PressRelease_2009July24.pdf";"118"
"25";"689";"PressRelease_GCT_NJcom_March27_09.pdf";"PressRelease_GCT_NJcom_March27_09.pdf";"PressRelease_GCT_NJcom_March27_09.pdf";"108"
"26";"692";"PressRelease_2008July21.pdf";"PressRelease_2008July21.pdf";"PressRelease_2008July21.pdf";"103"
"27";"694";"PressRelease_2008Aug11.pdf";"PressRelease_2008Aug11.pdf";"PressRelease_2008Aug11.pdf";"101"
"28";"695";"PressRelease_2008July21_1.pdf";"PressRelease_2008July21_1.pdf";"PressRelease_2008July21_1.pdf";"94"
"29";"696";"PressRelease_2008July7.pdf";"PressRelease_2008July7.pdf";"PressRelease_2008July7.pdf";"82"
"30";"697";"PressRelease_2008July21a.pdf";"PressRelease_2008July21a.pdf";"PressRelease_2008July21a.pdf";"95"
"31";"723";"Designers_Court_27000_Site_Plan.pdf";"Site Plan";"Designers_Court_27000_Site_Plan.pdf";"8"
"319";"953";"Garwood_Plaza_Sicklerville.pdf";"Fact Sheet";"Garwood_Plaza_Sicklerville.pdf";"155"
"33";"1001";"2_North_Black_Horse_Pike.pdf";"Fact Sheet";"2_North_Black_Horse_Pike.pdf";"191"
"34";"850";"298_1_2011052628.pdf";"Fact Sheet";"298_1_2011052628.pdf";"617"
"35";"962";"296_1_2011051630.pdf";"Fact Sheet";"296_1_2011051630.pdf";"371"
"37";"835";"293_1_2011050356.pdf";"Fact Sheet";"293_1_2011050356.pdf";"74"
"38";"780";"1233_Haddonfield_Berlin_Road.pdf";"Fact Sheet";"1233_Haddonfield_Berlin_Road.pdf";"495"
"39";"851";"20_1_2008031700.pdf";"Fact Sheet";"20_1_2008031700.pdf";"669"
"40";"963";"308_1_2011082305.pdf";"Fact Sheet";"308_1_2011082305.pdf";"132"
"41";"846";"270_1_2011012018.pdf";"Fact Sheet";"270_1_2011012018.pdf";"627"
