"827";"Former Taylor Rental";"4";"1";"<p>Strong retail corridor. Good visibility from highway. Great development opportunity.</p>";;"1999-11-30 00:00:00"
"573";"Press Release";"14";"1";"Markeim-Chalmers Awarded Exclusive Listing For 85,000-Sq. Ft. in Office Space at Voorhees Town Center";;"2011-07-09 14:24:59"
"576";"Voorhees Town Center Award";"14";"0";"<p>Markeim-Chalmers Awarded Exclusive Listing For 85,000-Sq. Ft. in Office Space at Voorhees Town Center</p>";;"2011-06-27 16:42:00"
"590";"Three Employee Promotions";"14";"1";"Markeim-Chalmers Announces&nbsp;Three Employee Promotions";;"2011-04-29 19:19:00"
"596";"Center for Neurological and Neurodevelopmental Health in a long term lease of a medical office a in Gibbsboro, NJ.";"14";"1";"<p>Markeim-Chalmers, represented Center for Neurological and Neurodevelopmental Health in a long term lease of a 13,000-square foot medical office at High Ridge Professional Campus, 250 Haddonfield Berlin Road in Gibbsboro.</p>";;"2011-02-01 19:58:00"
"598";"Long term lease renewal for Atlas Wallpaper in Marlton, NJ.";"14";"1";"<p>Markeim-Chalmers arranged the long term lease renewal for Atlas Wallpaper and its 22,000 SF retail showroom/warehouse located at 931 Route 73 in Marlton, representing the landlord, Designers Court, LLC.</p>";;"2011-07-09 20:09:24"
"644";"6,300 SQ. FT. Wawa Center in Marlton, New Jersey. ";"14";"1";"Markeim-Chalmers Sells 6,300 SQ. FT. Wawa Center in Marlton, New Jersey.";;"2009-03-10 11:13:00"
"600";"Sale office space at Washington Pavilions in Sewell, NJ.";"14";"1";"<p>Markeim-Chalmers negotiated the sale of a 10,000-square foot office space at Washington Pavilions in Sewell for $1,700,000.00, representing both the buyer, Springdale, Inc., and seller, Washington Pavilions Building C, LLC.</p>";;"2011-03-21 20:18:00"
"601";"Sale of retail building, 700 Haddon Avenue, in Collingswood, NJ.";"14";"1";"Markeim-Chalmers negotiated the sale of 700 Haddon Avenue, a 3,400-square foot retail building in Collingswood, which closed on December 13, 2010 for $435,000.00.";;"2010-12-13 20:24:00"
"602";"Sale of medical building, 108 Kings Highway in Cherry Hill, NJ";"14";"1";"Markeim-Chalmers, arranged the sale of 108 Kings Highway in Cherry Hill. The 1,700-square foot freestanding medical building sold for $340,000.00 and settled on November 23, 2010.";;"2010-11-23 20:28:00"
"603";"Long term lease of a Pep Boys, 1074 North Black Horse Pike in Williamstown, NJ.";"14";"1";"Markeim-Chalmers represented the lessor, 1074 BHP, LLC in the long term lease of a 7,200-square foot Pep Boys location at 1074 North Black Horse Pike in Williamstown.";;"2011-03-21 20:31:00"
